"wave","m1","m2","m3","m4","m5","m6","s1","s2","s3","s4","s5","s6","t1","t2","t3","t4","t5","t6"
340,1.776,1.586,3.684,2.598,3.172,2.416,2.28,2.47,2,3.274,2.53,2.588,1.892,1.536,0.764,0.932,1.826,1.748
350,1.71333333333333,1.505,3.575,2.51166666666667,3.09333333333333,2.35833333333333,2.27666666666667,2.43666666666667,1.95,3.19833333333333,2.485,2.51333333333333,1.655,1.22833333333333,0.69,0.821666666666667,1.69166666666667,1.61666666666667
360,1.71714285714286,1.48428571428571,3.61,2.53857142857143,3.11142857142857,2.37571428571429,2.32857142857143,2.46714285714286,1.94857142857143,3.25285714285714,2.5,2.51428571428571,1.61285714285714,1.12142857142857,0.652857142857143,0.804285714285714,1.62285714285714,1.56857142857143
370,1.71166666666667,1.48,3.63333333333333,2.555,3.13833333333333,2.39333333333333,2.38166666666667,2.49333333333333,1.95166666666667,3.34,2.53333333333333,2.53,1.57833333333333,1.07,0.626666666666667,0.768333333333333,1.58833333333333,1.54166666666667
380,1.77,1.51571428571429,3.70428571428571,2.62428571428571,3.19857142857143,2.44857142857143,2.46285714285714,2.54857142857143,2.00428571428571,3.45571428571429,2.61428571428571,2.58857142857143,1.58857142857143,1.06,0.61,0.778571428571429,1.59285714285714,1.55
390,1.81,1.53857142857143,3.75142857142857,2.68,3.23428571428571,2.49428571428571,2.53857142857143,2.6,2.03285714285714,3.58285714285714,2.69285714285714,2.64142857142857,1.55857142857143,1.05571428571429,0.598571428571429,0.767142857142857,1.56714285714286,1.55571428571429
400,1.81142857142857,1.53714285714286,3.74285714285714,2.69285714285714,3.23285714285714,2.51285714285714,2.59714285714286,2.63142857142857,2.04285714285714,3.68428571428571,2.76285714285714,2.67285714285714,1.48857142857143,1.07,0.577142857142857,0.754285714285714,1.54571428571429,1.56285714285714
410,1.85714285714286,1.56571428571429,3.81285714285714,2.74428571428571,3.29,2.56142857142857,2.66,2.67571428571429,2.08285714285714,3.82142857142857,2.85142857142857,2.73857142857143,1.48571428571429,1.14142857142857,0.575714285714286,0.77,1.59,1.61857142857143
420,1.95857142857143,1.64,4.03142857142857,2.86285714285714,3.47,2.65,2.75571428571429,2.76142857142857,2.16714285714286,4.01857142857143,3,2.86571428571429,1.58,1.27857142857143,0.607142857142857,0.828571428571429,1.69571428571429,1.72714285714286
430,2.10571428571429,1.75714285714286,4.38857142857143,3.04142857142857,3.76571428571429,2.77857142857143,2.87714285714286,2.88142857142857,2.30428571428571,4.26285714285714,3.19285714285714,3.04142857142857,1.78857142857143,1.45142857142857,0.67,0.904285714285714,1.85285714285714,1.86285714285714
440,2.27285714285714,1.88714285714286,4.81714285714286,3.26142857142857,4.10857142857143,2.93,2.99714285714286,3.01,2.47,4.50714285714286,3.39428571428571,3.21714285714286,2.07714285714286,1.64857142857143,0.75,0.981428571428571,2.02285714285714,1.99571428571429
450,2.45857142857143,2.03571428571429,5.27571428571429,3.53,4.47857142857143,3.10142857142857,3.12142857142857,3.14285714285714,2.65142857142857,4.74428571428571,3.59857142857143,3.39428571428571,2.47857142857143,1.9,0.857142857142857,1.06857142857143,2.23,2.13142857142857
460,2.63142857142857,2.17857142857143,5.63857142857143,3.77428571428571,4.76714285714286,3.26714285714286,3.23,3.24714285714286,2.81,4.95285714285714,3.78857142857143,3.54714285714286,2.86142857142857,2.14857142857143,0.951428571428571,1.15,2.41,2.24714285714286
470,2.76,2.28142857142857,5.87714285714286,3.95142857142857,4.95428571428571,3.39714285714286,3.31857142857143,3.32285714285714,2.92142857142857,5.11857142857143,3.95428571428571,3.66285714285714,3.14285714285714,2.34857142857143,1.01714285714286,1.20857142857143,2.52714285714286,2.31714285714286
480,2.87714285714286,2.37571428571429,6.07571428571429,4.11,5.09857142857143,3.51857142857143,3.40142857142857,3.38714285714286,3.02142857142857,5.27428571428571,4.10857142857143,3.77571428571429,3.39142857142857,2.53428571428571,1.07285714285714,1.26428571428571,2.63857142857143,2.38142857142857
490,3.03714285714286,2.51,6.31571428571429,4.30571428571429,5.28857142857143,3.66428571428571,3.49285714285714,3.46857142857143,3.15142857142857,5.44857142857143,4.27857142857143,3.91428571428571,3.72285714285714,2.79142857142857,1.15,1.34571428571429,2.79714285714286,2.50714285714286
500,3.28571428571429,2.69428571428571,6.72857142857143,4.64,5.63428571428571,3.88142857142857,3.62,3.59,3.33714285714286,5.64571428571429,4.47571428571429,4.09285714285714,4.28714285714286,3.09571428571429,1.28285714285714,1.47428571428571,3.03571428571429,2.70857142857143
510,3.71142857142857,3.03857142857143,7.41857142857143,5.17571428571429,6.20142857142857,4.19571428571429,3.76857142857143,3.78571428571429,3.67285714285714,5.93571428571429,4.73142857142857,4.37571428571429,5.29285714285714,3.69285714285714,1.51571428571429,1.70285714285714,3.51,3.09428571428571
520,4.41857142857143,3.62428571428571,8.6,6.06571428571429,7.17857142857143,4.70428571428571,4.01,4.12285714285714,4.23857142857143,6.37285714285714,5.09714285714286,4.83857142857143,7.09571428571429,4.66571428571429,1.95,2.13428571428571,4.38714285714286,3.84
530,5.20571428571429,4.27857142857143,9.88285714285714,7.03857142857143,8.25285714285714,5.25714285714286,4.29,4.49571428571429,4.83857142857143,6.83,5.49571428571429,5.34571428571429,9.05571428571429,5.71714285714286,2.44142857142857,2.63857142857143,5.4,4.67714285714286
540,5.75285714285714,4.82142857142857,10.5614285714286,7.50857142857143,8.66857142857143,5.54571428571429,4.38285714285714,4.68857142857143,5.26857142857143,7.22428571428571,5.73714285714286,5.72285714285714,10.1828571428571,6.52285714285714,2.74714285714286,2.90857142857143,6.01285714285714,5.22142857142857
550,6.2475,5.02,11.34,8.28625,9.51625,6.0425,4.66,4.9975,5.51375,7.49375,6.1325,6.01625,10.945,6.625,2.9125,3.10875,6.4225,5.4825
560,6.32,5.12714285714286,11.4314285714286,8.30857142857143,9.50714285714286,6.09,4.75142857142857,5.02857142857143,5.6,7.61714285714286,6.23714285714286,6.12857142857143,11.29,6.63142857142857,3.02285714285714,3.11,6.37571428571429,5.44142857142857
570,6.11857142857143,4.97285714285714,10.8957142857143,7.98571428571429,9.03142857142857,5.95857142857143,4.67571428571429,4.88,5.41142857142857,7.56714285714286,6.22428571428571,6.01571428571429,10.5842857142857,6.72142857142857,2.81285714285714,2.89,5.96285714285714,5.00571428571429
580,5.79857142857143,4.68285714285714,10.2828571428571,7.56428571428571,8.50714285714286,5.77428571428571,4.59857142857143,4.70285714285714,5.13857142857143,7.43857142857143,6.17,5.83142857142857,9.62,6.28714285714286,2.55,2.60571428571429,5.38142857142857,4.47
590,5.58571428571429,4.49571428571429,9.82714285714286,7.27142857142857,8.13,5.64571428571429,4.53714285714286,4.56,4.93857142857143,7.33857142857143,6.12571428571429,5.69571428571429,8.94428571428571,6.05285714285714,2.36857142857143,2.43,5.02,4.12571428571429
600,5.50625,4.40625,9.605,7.13875,7.95125,5.615,4.52,4.4875,4.85875,7.3175,6.1575,5.66375,8.5775,5.85,2.26625,2.33375,4.82375,3.93875
610,5.36714285714286,4.30285714285714,9.31285714285714,6.93571428571429,7.68428571428571,5.54285714285714,4.49714285714286,4.39428571428571,4.76285714285714,7.28571428571429,6.16571428571429,5.60857142857143,8.15,5.70285714285714,2.16571428571429,2.23857142857143,4.61857142857143,3.71714285714286
620,5.17142857142857,4.13571428571429,8.93571428571429,6.66714285714286,7.36,5.43714285714286,4.45714285714286,4.27285714285714,4.60428571428571,7.22142857142857,6.15714285714286,5.50571428571429,7.58,5.46857142857143,2.03428571428571,2.12571428571429,4.37142857142857,3.47428571428571
630,5.09428571428571,4.08142857142857,8.75285714285714,6.57,7.20714285714286,5.42428571428571,4.45571428571429,4.21,4.53857142857143,7.22428571428571,6.2,5.48571428571429,7.31285714285714,5.45714285714286,1.97285714285714,2.09,4.29142857142857,3.37142857142857
640,5.01,4.0025,8.5525,6.4375,7.05875,5.41375,4.47,4.14625,4.46375,7.2225,6.255,5.45125,6.97375,5.2325,1.88875,2.0325,4.17125,3.23375
650,4.75857142857143,3.78571428571429,8.08428571428571,6.09857142857143,6.69142857142857,5.28285714285714,4.40714285714286,3.99428571428571,4.24714285714286,7.11285714285714,6.21571428571429,5.29285714285714,6.17714285714286,4.88285714285714,1.69571428571429,1.89142857142857,3.91,2.98714285714286
660,4.51125,3.6,7.6625,5.77375,6.3175,5.15,4.3575,3.86125,4.06875,7.02,6.18,5.17125,5.4875,4.5675,1.55375,1.795,3.68,2.7825
670,4.18285714285714,3.38285714285714,7.13142857142857,5.37,5.85285714285714,4.97428571428571,4.30142857142857,3.68714285714286,3.85285714285714,6.87857142857143,6.1,5.00571428571429,4.63571428571429,4.31285714285714,1.38714285714286,1.69285714285714,3.40571428571429,2.55428571428571
680,4.20428571428571,3.39857142857143,7.08571428571429,5.38428571428571,5.79,5.03,4.31,3.67714285714286,3.85428571428571,6.94714285714286,6.20285714285714,5.05,4.44857142857143,4.33714285714286,1.35428571428571,1.7,3.47857142857143,2.56
690,5.055,4.04,8.35375,6.4175,6.90375,5.6325,4.68,4.08125,4.44875,7.48875,6.725,5.58,6.555,4.965,1.85125,2.105,4.22875,3.14375
700,7.23,5.86714285714286,11.3742857142857,9.01285714285714,9.43428571428571,7.02142857142857,5.35714285714286,5.07714285714286,6.02857142857143,8.63571428571429,7.71285714285714,7.00285714285714,11.7085714285714,7.80714285714286,3.13142857142857,3.37,6.61428571428571,5.11428571428571
710,10.1775,8.3125,15.005,12.1675,12.7225,8.80625,6.23875,6.36375,8.0375,9.985,8.91125,8.8175,17.6225,10.88875,4.8075,5.385,10.1125,8.16
720,13.0642857142857,10.7228571428571,18.1685714285714,15.0914285714286,15.9128571428571,10.5314285714286,7.04428571428571,7.57428571428571,9.81428571428571,11.1428571428571,10.0057142857143,10.4842857142857,22.7857142857143,13.9942857142857,6.49142857142857,7.88428571428571,13.9742857142857,11.7128571428571
730,15.90625,13.06375,21.2275,17.96375,19.2525,12.27375,7.85375,8.81375,11.5125,12.2475,11.12875,12.155,27.555,16.7375,8.2625,10.77,17.925,15.51875
740,17.9328571428571,14.7942857142857,23.3071428571429,19.8714285714286,21.4771428571429,13.4742857142857,8.42142857142857,9.70142857142857,12.8257142857143,13.0485714285714,11.9371428571429,13.4285714285714,31.0214285714286,18.7942857142857,9.67428571428571,13.0457142857143,20.7885714285714,16.4157142857143
750,19.0125,15.72875,24.28375,20.845,22.59,14.11375,8.7625,10.2,13.58875,13.5175,12.4325,14.17625,32.88125,19.9925,10.50625,14.39625,22.37375,16.23375
760,19.51,16.17625,24.34,21.07625,22.76625,14.29625,8.88875,10.36625,13.915,13.7825,12.6875,14.53,33.85,20.93,10.9325,15.17875,23.29625,19.4925
770,19.7942857142857,16.3828571428571,24.86,21.7271428571429,23.4614285714286,14.6842857142857,9.16714285714286,10.7057142857143,14.1828571428571,13.9842857142857,13.0714285714286,14.8957142857143,34.1271428571429,20.7757142857143,11.0914285714286,15.5214285714286,23.5614285714286,20.04
780,19.96375,16.555,24.71625,21.64125,23.27875,14.685,9.2475,10.75625,14.41125,14.1075,13.1625,15.075,34.595,21.195,11.25875,15.72125,23.81375,19.68875
790,20.0975,16.66625,24.625,21.71125,23.25125,14.76125,9.3475,10.83625,14.53,14.22125,13.32125,15.22625,34.87,21.47625,11.35375,15.945,24.065,21.215
800,20.23,16.7825,24.62625,21.84625,23.30625,14.88,9.4625,10.935,14.66375,14.34125,13.5,15.385,35.12,21.7,11.45,16.16375,24.31625,21.47625
810,20.3675,16.91375,24.61,21.9675,23.28875,14.99,9.55375,11,14.77625,14.42875,13.62375,15.50625,35.44,22.00125,11.57375,16.36,24.5625,21.645
820,20.43375,16.9925,24.56,22.10625,23.38125,15.0775,9.615,11.0675,14.78125,14.5025,13.785,15.57625,35.53625,22.24375,11.64125,16.6075,24.86375,21.90875
830,20.58875,17.13125,24.745,22.35375,23.56875,15.2475,9.74,11.18125,14.9375,14.61375,13.955,15.75125,35.77875,22.3175,11.72875,16.7325,25.0225,22.01375
840,20.75125,17.29125,24.88375,22.4925,23.69375,15.3675,9.82625,11.2725,15.135,14.73875,14.095,15.94625,36.02125,22.45,11.825,16.8625,25.185,22.0475
850,20.90625,17.445,24.94125,22.56,23.72,15.4525,9.8875,11.32125,15.30125,14.83,14.1775,16.08625,36.335,22.68375,11.9425,16.98625,25.35125,22.10125
860,21.0425,17.57125,25.04625,22.73875,23.86875,15.5675,9.96,11.3975,15.4075,14.90125,14.29,16.2,36.52125,22.81,12.03125,17.14,25.5275,22.2225
870,21.15625,17.68625,25.09375,22.85375,23.91,15.64875,10.0125,11.4375,15.50875,14.97375,14.37875,16.29875,36.75,22.98875,12.12375,17.28625,25.71625,22.33125
880,21.2444444444444,17.7811111111111,25.1277777777778,22.99,23.9655555555556,15.7322222222222,10.0733333333333,11.4877777777778,15.57,15.0277777777778,14.4822222222222,16.3844444444444,36.9611111111111,23.1444444444444,12.2033333333333,17.4266666666667,25.8866666666667,22.4366666666667
890,21.30875,17.85875,25.0975,23.08125,23.9425,15.7925,10.13125,11.51,15.6175,15.0675,14.55125,16.43625,37.17,23.3175,12.29,17.5525,26.04,22.54
900,21.2366666666667,17.8277777777778,24.88,23.0777777777778,23.8411111111111,15.7711111111111,10.1222222222222,11.4855555555556,15.4944444444444,15.0377777777778,14.5844444444444,16.3677777777778,37.1688888888889,23.5411111111111,12.3411111111111,17.7388888888889,26.2833333333333,22.7722222222222
910,21.29,17.88625,24.8775,23.1775,23.84,15.8625,10.15,11.48375,15.5125,15.065,14.6325,16.4075,37.31875,23.67625,12.38875,17.86,26.4825,22.9325
920,21.3266666666667,17.9488888888889,25.0322222222222,23.4844444444444,24.0744444444444,15.9877777777778,10.2411111111111,11.5788888888889,15.5333333333333,15.1211111111111,14.7766666666667,16.4777777777778,37.2155555555556,23.5733333333333,12.4,17.9455555555556,26.5688888888889,22.9977777777778
930,21.06,17.82625,24.20125,22.6175,23.02625,15.56125,9.94,11.17125,15.30125,14.88375,14.33625,16.1875,37.39375,24.395,12.53625,17.9775,26.72625,22.945
940,20.6022222222222,17.4677777777778,24.3511111111111,22.9422222222222,23.4777777777778,15.57,9.99888888888889,11.1988888888889,15.05,14.7933333333333,14.4188888888889,15.9444444444444,36.2955555555556,23.7855555555556,12.3922222222222,17.8444444444444,26.6744444444444,23.1977777777778
950,20.43875,17.40125,24.18625,22.88,23.26875,15.58625,9.93625,11.11625,14.96375,14.83125,14.425,15.92625,36.30375,23.7675,12.2775,17.74375,26.7975,23.11375
960,20.14,17.2377777777778,24.0788888888889,22.7555555555556,23.1911111111111,15.5722222222222,9.95444444444444,11.1277777777778,14.8022222222222,14.7366666666667,14.4377777777778,15.9288888888889,35.63,23.1166666666667,11.9555555555556,17.2188888888889,26.2788888888889,22.4288888888889
970,20.21625,17.365,24.17125,22.79125,23.165,15.55125,10.08375,11.2125,14.9325,14.86,14.525,16.1075,35.3125,22.635,11.775,16.7675,25.8575,21.74625
980,20.1411111111111,17.3744444444444,23.8977777777778,22.4877777777778,22.8588888888889,15.42,10.0488888888889,11.1522222222222,15.0077777777778,14.9133333333333,14.5488888888889,16.1755555555556,35.5188888888889,22.8966666666667,11.8388888888889,16.8977777777778,25.9844444444444,21.6855555555556
990,20.282,17.47,24.122,22.676,23.006,15.562,10.102,11.204,15.154,14.972,14.636,16.248,35.726,22.924,11.896,16.982,26.072,21.594
1000,20.6533333333333,17.7333333333333,24.2533333333333,22.9433333333333,23.1833333333333,15.7,10.2066666666667,11.3633333333333,15.4366666666667,15.1133333333333,14.7866666666667,16.4333333333333,36.15,23.14,11.8966666666667,17.13,26.1433333333333,21.5566666666667
1010,20.915,17.945,24.47,23.185,23.52,15.94,10.315,11.505,15.65,15.24,14.95,16.61,36.575,23.425,12.045,17.45,26.44,21.86
1020,21.22,18.2033333333333,24.7366666666667,23.51,23.7866666666667,16.19,10.45,11.65,15.9233333333333,15.38,15.1366666666667,16.8033333333333,37.0333333333333,23.7366666666667,12.1866666666667,17.78,26.7033333333333,22.1
1030,21.5533333333333,18.4733333333333,24.9366666666667,23.7966666666667,24.0166666666667,16.41,10.5633333333333,11.7833333333333,16.16,15.5033333333333,15.28,16.99,37.5733333333333,24.0833333333333,12.3233333333333,18.11,26.9733333333333,22.3566666666667
1040,21.75,18.65,25.055,23.98,24.195,16.53,10.63,11.875,16.315,15.575,15.38,17.1,37.94,24.325,12.455,18.365,27.175,22.595
1050,21.96,18.8066666666667,25.1733333333333,24.1666666666667,24.3333333333333,16.68,10.6966666666667,11.9566666666667,16.4366666666667,15.66,15.47,17.2033333333333,38.2333333333333,24.57,12.5933333333333,18.5833333333333,27.3466666666667,22.8133333333333
1060,22.105,18.92,25.235,24.285,24.42,16.78,10.76,12.01,16.545,15.715,15.535,17.28,38.47,24.745,12.67,18.76,27.495,22.96
